scenario,method_a,method_b,pearson_lower_triangle,mantel_permutation_p
1,delta,openai,0.935573460206991,0.0001999600079984003
1,delta,spacy,0.9510519547719376,0.0001999600079984003
1,openai,spacy,0.9881165483111232,0.0001999600079984003
2,delta,openai,0.9582502387682074,0.0001999600079984003
2,delta,spacy,0.941941148574516,0.0001999600079984003
2,openai,spacy,0.9822409264521373,0.0001999600079984003
3,delta,openai,0.44668549291065396,0.0001999600079984003
3,delta,spacy,0.35876230257408753,0.0001999600079984003
3,openai,spacy,0.7988210259501812,0.0001999600079984003
4,delta,openai,0.9683817594401226,0.0001999600079984003
4,delta,spacy,0.9265262363822178,0.0001999600079984003
4,openai,spacy,0.9899102576521185,0.0001999600079984003
5,delta,openai,0.579750391472209,0.0001999600079984003
5,delta,spacy,0.4450353410639771,0.0001999600079984003
5,openai,spacy,0.7241366392305163,0.0001999600079984003
