scenario,method,k,knn_acc
1,delta,1,1.0
1,delta,3,1.0
1,delta,5,1.0
1,delta,7,1.0
1,openai,1,1.0
1,openai,3,1.0
1,openai,5,1.0
1,openai,7,1.0
1,spacy,1,1.0
1,spacy,3,1.0
1,spacy,5,1.0
1,spacy,7,1.0
2,delta,1,1.0
2,delta,3,1.0
2,delta,5,1.0
2,delta,7,1.0
2,openai,1,1.0
2,openai,3,1.0
2,openai,5,1.0
2,openai,7,1.0
2,spacy,1,1.0
2,spacy,3,1.0
2,spacy,5,1.0
2,spacy,7,1.0
3,delta,1,0.8333333333333334
3,delta,3,0.9166666666666666
3,delta,5,0.9166666666666666
3,delta,7,0.9166666666666666
3,openai,1,0.9166666666666666
3,openai,3,0.9833333333333333
3,openai,5,0.9833333333333333
3,openai,7,0.9666666666666667
3,spacy,1,0.8666666666666667
3,spacy,3,0.9333333333333333
3,spacy,5,0.95
3,spacy,7,0.9
4,delta,1,1.0
4,delta,3,1.0
4,delta,5,1.0
4,delta,7,1.0
4,openai,1,1.0
4,openai,3,1.0
4,openai,5,1.0
4,openai,7,1.0
4,spacy,1,1.0
4,spacy,3,1.0
4,spacy,5,1.0
4,spacy,7,1.0
5,delta,1,0.0
5,delta,3,0.3333333333333333
5,delta,5,0.95
5,delta,7,1.0
5,openai,1,0.0
5,openai,3,0.3333333333333333
5,openai,5,0.4166666666666667
5,openai,7,0.48333333333333334
5,spacy,1,0.0
5,spacy,3,0.31666666666666665
5,spacy,5,0.15
5,spacy,7,0.2833333333333333
